url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://uet.edu.vn/dieu-chinh-doi-tuong-xet-hoc-bong-data-nest-nam-hoc-2026-2027/,dieu-chinh-doi-tuong-hoc-bong-data-nest-2026-2027,Điều chỉnh đối tượng xét học bổng Data Nest năm học 2026-2027,student,student-affairs,scholarship,vi,not-stated,public-source
https://uet.edu.vn/chuong-trinh-hoc-bong-tai-nang-pegatron-2027/,chuong-trinh-hoc-bong-tai-nang-pegatron-2027,Chương trình Học bổng Tài năng Pegatron 2027,student,student-affairs,scholarship,vi,PVN-26830,public-source
https://uet.edu.vn/de-nghi-danh-sach-tan-sinh-vien-duoc-nhan-hb-dinh-thien-ly-nam-hoc-2026-2027/,de-nghi-danh-sach-tan-sinh-vien-hoc-bong-dinh-thien-ly-2026-2027,Đề nghị danh sách tân sinh viên được nhận HB Đinh Thiện Lý năm học 2026-2027,student,student-affairs,scholarship,vi,not-stated,public-source
https://uet.edu.vn/hoc-bong-data-nest-nam-hoc-2026-2027/,hoc-bong-data-nest-nam-hoc-2026-2027,"Học bổng Data Nest, năm học 2026-2027",student,student-affairs,scholarship,vi,not-stated,public-source
https://uet.edu.vn/chuong-trinh-hoc-bong-goertek-nam-2027/,chuong-trinh-hoc-bong-goertek-nam-2027,Chương trình học bổng Goertek năm 2027,student,student-affairs,scholarship,vi,3962/ĐHQGHN-ĐT&CTSV,public-source
https://uet.edu.vn/quy-dinh-ve-viec-xet-cap-hoc-bong-khuyen-khich-hoc-tap-tai-truong-dai-hoc-cong-nghe/,quy-dinh-xet-cap-hoc-bong-khuyen-khich-hoc-tap,"Quy định về việc xét, cấp học bổng khuyến khích học tập tại Trường Đại học Công nghệ",staff,student-affairs,regulation,vi,not-stated,public-source
https://uet.edu.vn/hoc-bong-the-best-of-mb-chasing-2026/,hoc-bong-the-best-of-mb-chasing-2026,Học bổng The Best of MB Chasing 2026,student,student-affairs,scholarship,vi,not-stated,public-source
https://uet.edu.vn/ket-qua-xet-chon-hoc-bong-vallet-danh-cho-sinh-vien-truong-dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-nam-2026/,ket-qua-xet-chon-hoc-bong-vallet-2026,"Kết quả xét chọn học bổng Vallet dành cho sinh viên Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội năm 2026",student,student-affairs,scholarship,vi,not-stated,public-source
https://uet.edu.vn/cap-hoc-bong-khuyen-khich-hoc-tap-ki-cuoi-cho-sinh-vien-tot-nghiep-dot-xet-thang-06-nam-2026/,cap-hoc-bong-khuyen-khich-hoc-tap-ki-cuoi-thang-06-2026,Cấp học bổng khuyến khích học tập kì cuối cho sinh viên tốt nghiệp đợt xét tháng 06 năm 2026,student,student-affairs,scholarship,vi,1545/QĐ-ĐHCN,public-source
https://uet.edu.vn/chuong-trinh-hoc-bong-dinh-thien-ly-nam-hoc-2026-2027-danh-cho-sinh-vien-nam-cuoi-va-sinh-vien-nam-cuoi-co-hoan-canh-dac-biet/,chuong-trinh-hoc-bong-dinh-thien-ly-nam-cuoi-2026-2027,Chương trình học bổng Đinh Thiện Lý năm học 2026 - 2027 dành cho sinh viên năm cuối và sinh viên năm cuối có hoàn cảnh đặc biệt,student,student-affairs,scholarship,vi,not-stated,public-source
